sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11,12687,LD2,2100,750,9.887604636098002,0.0004990225554815,0.0475297,0.042617,0.93243,0.927999
11,12688,LD2,2100,750,9.887345322097264,0.0005724956049097,0.0284111,0.0254666,0.933463,0.929246
11,12693,LD2,2100,750,9.88894719818182,0.0001777236759227,0.0443172,0.0397379,0.928254,0.922693
11,12694,LD2,2100,750,9.889000119729166,0.0001762335657384,0.0420396,0.037682,0.927103,0.921683
11,12695,LD2,2100,750,9.888996418929253,0.0001672441094876,0.0424681,0.0380838,0.926783,0.922591
11,12697,LD2,2100,750,9.888980864557237,0.0001665134342621,0.0397548,0.0356329,0.926846,0.922524
11,12699,LD2,2100,750,9.889121881788617,0.0001054459725671,0.0338483,0.0303305,0.927727,0.921301
11,12700,LD2,2100,750,9.889215622941176,0.0001661898281521,0.0264026,0.0236671,0.9478,0.944561
11,12701,LD2,2100,750,9.8891947513253,0.0001541615559045,0.0424184,0.0380343,0.948825,0.944097
11,12702,LD2,2100,750,9.889123860163265,0.0001799934899321,0.0418921,0.0375477,0.950214,0.94475
11,12706,LD2,2100,750,9.889135908072726,0.0001414601191295,0.049785,0.0446275,0.950598,0.944934
11,12707,LD2,2100,750,9.889200839253332,0.0001366528363925,0.0521535,0.0467742,0.95186,0.946745
11,12708,LD2,2100,750,9.889199001019332,0.0001388789718613,0.0505106,0.0452781,0.95095,0.946358
11,12709,LD2,2100,750,9.889199700209424,0.0001388278032277,0.049634,0.0444928,0.950513,0.945786
11,12710,LD2,2100,750,9.889201824749998,0.0001591652799102,0.0505964,0.0453735,0.950886,0.946313
11,12711,LD2,2100,750,9.889183431687895,0.0001159711886459,0.0512842,0.046035,0.951237,0.947565
11,12713,LD2,2100,750,9.889095425625,0.0001158001761639,0.00164065,0.00145678,0.954721,0.947984
11,12714,LD2,2100,750,9.889081390291594,0.0001250962548082,0.0526693,0.0472139,0.949217,0.944582
11,12715,LD2,2100,750,9.889132084931504,0.0001488400234846,0.0527213,0.0472666,0.951484,0.946483
11,12721,LD2,2100,750,9.889162788169209,0.0002574012636009,0.0554032,0.0496942,0.949387,0.94516
11,12722,LD2,2100,750,9.889086758903344,0.000154141053502,0.0466537,0.0418324,0.948256,0.943702
11,12726,LD2,0,750,9.889046641316964,0.0001351182477413,0.0388942,0.0348747,0.957965,0.951495
11,12728,LD2,0,750,9.889020776786516,0.0001883228895695,0.0359781,0.0322573,0.957544,0.950439
11,12729,LD2,0,750,9.889019729444442,0.0001820330889285,0.0564475,0.0505914,0.957266,0.950317
11,12732,LD2,2100,750,9.888946964649264,0.0001919794108619,0.0537559,0.048187,0.952546,0.947718
11,12733,LD2,2100,750,9.888992638534882,0.0002433234668174,0.0281579,0.0252694,0.951749,0.946473
