sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
11,13056,LH2,2100,750,9.888909710689148,0.0002183357200187,0.0743046,0.0665765,0.990068,0.987939
11,13057,LH2,2100,750,9.888856039743589,0.0001896828417136,0.0756437,0.067772,0.990049,0.987596
14,13239,LH2,1470,750,5.983121273119265,0.0001060986626934,0.00954525,0.00855728,0.986133,0.493055
14,13240,LH2,1470,750,5.982973134938271,0.0001285927071416,0.00379289,0.00344171,0.998254,0.499126
14,13241,LH2,1470,750,5.9830579875,0.0002041183255467,0.0169436,0.0151985,0.988774,0.494375
14,13242,LH2,1470,750,5.983056774193548,0.0004478144497826,0.00703269,0.00632764,0.988128,0.494053
14,13243,LH2,1470,750,5.983321152682927,0.0001794210219269,0.00782962,0.00704412,0.987802,0.493891
14,13244,LH2,1470,750,5.983233216855895,0.0001417711217397,0.0145974,0.0130988,0.98826,0.494121
14,13312,LH2,1470,750,5.982906528330403,0.0003123435364634,0.0457152,0.0410001,0.979721,0.979723
14,13313,LH2,1470,750,5.982803714303797,0.0002028799162643,0.0464622,0.0416487,0.979171,0.979175
14,13320,LH2,1470,750,5.98324514755784,0.0002673079975054,0.0150756,0.0135617,0.979802,0.979804
14,13321,LH2,1470,750,5.982690726754832,0.0003997864869279,0.0802643,0.0719708,0.98096,0.980963
14,13345,LH2,1470,750,5.982789474285713,0.0004158001171736,0.0264087,0.023673,0.981874,0.981877
14,13346,LH2,1470,750,5.9831798320398,0.0004047083911079,0.012058,0.0108656,0.98035,0.980353
14,13348,LH2,1470,750,5.9825209796163055,0.0003893705162033,0.0362727,0.0325123,0.981625,0.981629
14,13349,LH2,1470,750,5.9825794881573895,0.0004307593032207,0.0427842,0.0383572,0.981031,0.981033
14,13351,LH2,1470,750,5.982892269689703,0.0005046552563396,0.0484972,0.0435162,0.965904,0.965908
14,13352,LH2,1470,750,5.982584763130081,0.0003614992796305,0.0259413,0.0232246,0.968152,0.968155
14,13375,LH2,0,750,5.982578844657836,0.0003875329634795,0.0682216,0.0611402,0.975884,0.975887
14,13376,LH2,0,750,5.982691858015716,0.0004244978825854,0.0504847,0.0452497,0.984923,0.984925
14,13377,LH2,0,750,5.98245843105263,5.794377877593361e-05,0.00267397,0.00239158,0.982208,0.982211
14,13378,LH2,0,750,5.982692370713101,0.0003069034611183,0.066493,0.0595676,0.985402,0.985404
14,13379,LH2,1470,750,5.9827502273584905,0.0003090419390303,0.103022,0.0923246,0.985052,0.985054
14,13396,LH2,1470,750,5.982605305931034,0.0003669213200335,0.0161188,0.0144361,0.983875,0.983877
14,13397,LH2,1470,750,5.982558434625176,0.0003424120456768,0.0815213,0.0730503,0.983719,0.983722
14,13405,LH2,1470,750,5.982525935474061,0.0003542474906831,0.0632413,0.0566481,0.984039,0.98404
8,13450,LH2,1470,750,5.982574313545453,0.0002296834401515,0.00354887,0.00319127,0.95115,0.951153
8,13451,LH2,1470,750,5.982728842641508,0.0003306303930087,0.00192036,0.00172723,0.867056,0.867062
8,13452,LH2,1470,750,5.982552844528302,0.0004714110523782,0.0106632,0.0095898,0.950292,0.950296
8,13459,LH2,0,750,5.982629667638377,0.0003618779614477,0.0325475,0.0292071,0.961892,0.961898
8,13460,LH2,0,750,5.982663648681318,0.0003570794830775,0.0320108,0.0287277,0.961701,0.961705
