sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A)
9,13699,LD2,1470,750
9,13700,LD2,1470,750
9,13710,LD2,1470,750
9,13711,LD2,1470,750
9,13712,LD2,1470,750
9,13714,LD2,1470,750
9,13715,LD2,1470,750
9,13716,LD2,1470,750
9,13717,LD2,1470,750
9,13721,LD2,1470,750
9,13723,LD2,1470,750
9,13724,LD2,1470,750
9,13727,LD2,1470,750
9,13728,LD2,1470,750
9,13729,LD2,1470,750
9,13731,LD2,1470,750
9,13732,LD2,1470,750
9,13734,LD2,1470,750
9,13736,LD2,1470,750
9,13737,LD2,1470,750
9,13746,LD2,1470,750
9,13748,LD2,1470,750
9,13749,LD2,1470,750
9,13753,LD2,1470,750
9,13754,LD2,1470,750
9,13755,LD2,1470,750
9,13756,LD2,1470,750
9,13757,LD2,1470,750
9,13758,LD2,1470,750
9,13760,LD2,1470,750
9,13761,LD2,1470,750
9,13764,LD2,1470,750
9,13765,LD2,1470,750
9,13766,LD2,1470,750
9,13767,LD2,1470,750
9,13770,LD2,1470,750
9,13771,LD2,1470,750
9,13773,LD2,1470,750
9,13775,LD2,1470,750
9,13776,LD2,1470,750
9,13777,LD2,1470,750
9,13778,LD2,1470,750
9,13779,LD2,1470,750
9,13793,LD2,1470,750
9,13797,LD2,1470,750
9,13798,LD2,1470,750
9,13799,LD2,1470,750
