runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
12965,0.0563602,0.0505289,0.968988,0.966526
12968,0.0440677,0.0395007,0.96829,0.965823
12969,0.0480662,0.0430789,0.968811,0.966343
12970,0.0468317,0.0420064,0.972337,0.969835
12971,0.0492693,0.0441512,0.976064,0.973632
12972,0.0394738,0.0353741,0.975731,0.973238
12975,0.0214939,0.0192802,0.975845,0.973367
12976,0.0278624,0.024976,0.976079,0.973663
12977,0.0129376,0.0116019,0.975437,0.972935
12979,0.00711215,0.00637626,0.974621,0.972132
12980,0.0111678,0.0100216,0.974673,0.972215
12982,0.0537827,0.0482115,0.980193,0.977495
12983,0.0534352,0.0479247,0.979436,0.976837
12984,0.0102852,0.00932266,0.979987,0.977529
12986,0.0547156,0.0490543,0.981015,0.978532
12987,0.0549694,0.0493038,0.979779,0.977267
12988,0.0555162,0.0497797,0.976656,0.974134
12989,0.0149931,0.013439,0.980908,0.978394
13000,0.0468754,0.0420172,0.973921,0.971362
13029,0.0477486,0.0428072,0.974534,0.972116
13030,0.0507787,0.045528,0.974132,0.971761
13034,0.0486062,0.0435832,0.974277,0.971868
13035,0.0374908,0.0336411,0.974666,0.972237
13036,0.0181545,0.0163112,0.974968,0.972507
13038,0.0700098,0.0627802,0.976121,0.973625
13039,0.05552,0.0497984,0.975615,0.973174
13040,0.0589656,0.0528696,0.976385,0.973925
13044,0.0486623,0.0436298,0.976658,0.973817
13045,0.045757,0.041113,0.976649,0.974346
13048,0.00110265,0.00102802,0.975615,0.97284
13049,0.0471684,0.0423277,0.974011,0.971078
13050,0.0464203,0.0416158,0.971746,0.969337
13051,0.0450446,0.0404009,0.970494,0.96741
13052,0.0345382,0.0309938,0.969343,0.966828
13053,0.0231298,0.0207277,0.970919,0.967993
13054,0.0457541,0.0410317,0.970169,0.967331
13055,0.0341633,0.0306249,0.973803,0.971202
13058,0.0487264,0.0436778,0.975222,0.972819
13059,0.0412017,0.0369446,0.976015,0.972785
